""," SL No"," NLEM Version"," Formulation"," Dosage & Strength"," SO Number"," SO Date"," Ceiling Price ( Excluding Taxes) (Rs.)(Per Unit)"
"","84","2015","Levonorgestrel","Tablet 0.75 mg","1581(E)","25-Mar-2026","₹ 29.34(1 Tablet)"
"","85","2015","Levothyroxine","Tablet 37.5 mcg","1581(E)","25-Mar-2026","₹ 1.51(1 Tablet)"
"","86","2015","Lignocaine (A)+Adrenaline (B)","Injection 1% (A) + 1:200000
(5 mcg/ml) (B)","1581(E)","25-Mar-2026","₹ 0.57(1 ML)"
"","87","2015","Lopinavir (A)+Ritonavir (B)","Tablet 100/25 mg","1581(E)","25-Mar-2026","₹ 29.98(1 Tablet)"
"","88","2015","Methotrexate","Injection 50 mg/ml","1581(E)","25-Mar-2026","₹ 51.06(1 ML)"
"","89","2015","Methylthioninium chloride (Methylene blue)","Injection 10 mg/ml","1581(E)","25-Mar-2026","₹ 27.78(1 ML)"
"","90","2015","Midazolam","Tablet 7.5 mg","1581(E)","25-Mar-2026","₹ 28.61(1 Tablet)"
"","91","2015","Morphine","SR Tablet 30 mg","1581(E)","25-Mar-2026","₹ 6.94(1 Tablet)"
"","92","2015","Morphine","Tablet 10 mg","1581(E)","25-Mar-2026","₹ 6.79(1 Tablet)"
"","93","2015","N-ACETYLCYSTEINE","SACHET 200 mg","1581(E)","25-Mar-2026","₹ 11.46(1 GM)"
"","94","2015","Nevirapine","Oral Liquid 50 mg/5 ml","1581(E)","25-Mar-2026","₹ 1.07(1 ML)"
"","95","2015","Omeprazole","Tablet 10 mg","1581(E)","25-Mar-2026","₹ 5.66(1 Tablet)"
"","96","2015","Oral poliomyelitis","Vaccine --","1581(E)","25-Mar-2026","₹ 130.73(1 ML)"
"","97","2015","Para-aminosalicylic acid","Granules --","1581(E)","25-Mar-2026","₹ 3.62(1 GM)"
"","98","2015","Paracetamol","Injection 150 mg","1581(E)","25-Mar-2026","₹ 22.60(Each Pack (7 ml))"
"","99","2015","Paracetamol","Injection 150 mg","1581(E)","25-Mar-2026","₹ 3.92(Each Pack (0.5ml))"
"","100","2015","Paracetamol","Injection 150 mg","1581(E)","25-Mar-2026","₹ 5.34(Each Pack (1 ml))"
"","101","2015","Paracetamol","Injection 150 mg","1581(E)","25-Mar-2026","₹ 11.10(Each Pack (3 ml))"
"","102","2015","Paracetamol","Injection 150 mg","1581(E)","25-Mar-2026","₹ 13.98(Each Pack (4 ml))"
"","103","2015","Paracetamol","Injection 150 mg","1581(E)","25-Mar-2026","₹ 16.86(Each Pack (5 ml))"
"","104","2015","Penicillamine","Capsule 250 mg","1581(E)","25-Mar-2026","₹ 18.94(1 Capsule)( Pack)"
"","105","2015","PHENYLEPHRINE","DROPS 10 %","1581(E)","25-Mar-2026","₹ 10.31(1 ML)"
"","106","2015","PHENYLEPHRINE","DROPS 5 %","1581(E)","25-Mar-2026","₹ 4.75(1 ML)"
"","107","2015","Phenytoin","Injection 25 mg","1581(E)","25-Mar-2026","₹ 3.20(1 ML)"
"","108","2015","PHENYTOIN","ER Capsule 300 mg","1581(E)","25-Mar-2026","₹ 4.85(1 Capsule)"
"","109","2015","Pilocarpine","DROPS 4%","1581(E)","25-Mar-2026","₹ 14.89(1 ML)"
"","110","2015","Potassium permanganate","Crystal for topical solution --","1581(E)","25-Mar-2026","₹ 0.56(1 GM)"
"","111","2015","Povidone iodine","Scrub 7.50%","1581(E)","25-Mar-2026","₹ 2.04(1 ML)"
"","112","2015","Praziquantel","Tablet 600 mg","1581(E)","25-Mar-2026","₹ 44.29(1 Tablet)"
"","113","2015","Prednisolone","Injection 20 mg/ 2 ml","1581(E)","25-Mar-2026","₹ 4.57(1 ML)"
"","114","2015","Pyrazinamide","Oral Liquid 250 mg/ 5 ml","1581(E)","25-Mar-2026","₹ 0.78(1 ML)"
"","115","2015","RIFAMPICIN","TABLET 150 MG","1581(E)","25-Mar-2026","₹ 2.05(1 Tablet)( Pack)"
"","116","2015","Ringer Lactate","Injection 500 ml","1581(E)","25-Mar-2026","₹ 57.85(Each Pack)"
"","117","2015","Ringer Lactate","Injection 100 ml","1581(E)","25-Mar-2026","₹ 26.62(Each Pack)"
"","118","2015","Ringer Lactate","Injection 250 ml","1581(E)","25-Mar-2026","₹ 45.39(Each Pack)"
"","119","2015","Ringer Lactate","Injection 1000 ml","1581(E)","25-Mar-2026","₹ 101.71(Each Pack)"
"","120","2015","Ritonavir","Capsule 100 mg","1581(E)","25-Mar-2026","₹ 35.98(1 Capsule)"
"","121","2015","SALBUTAMOL","CAPSULE 4 mg","1581(E)","25-Mar-2026","₹ 0.75(1 Capsule)"
"","122","2015","Silver Sulphadiazine","Cream 1%","1581(E)","25-Mar-2026","₹ 0.64(1 GM)"
"","123","2015","Sodium chloride","Injection 0.90%","1581(E)","25-Mar-2026","₹ 30.17(250ml Glass)"
"","124","2015","Sodium chloride","Injection 0.90%","1581(E)","25-Mar-2026","₹ 75.66(1000ml Glass)"
"","125","2015","Sodium chloride","Injection 0.90%","1581(E)","25-Mar-2026","₹ 27.08(250ml Non-Glass)"
"","126","2015","Sodium chloride","Injection 0.90%","1581(E)","25-Mar-2026","₹ 20.15(100ml Non-Glass)"
"","127","2015","Sodium chloride","Injection 0.90%","1581(E)","25-Mar-2026","₹ 22.36(100ml Glass)"
"","128","2015","Sodium chloride","Injection 0.90%","1581(E)","25-Mar-2026","₹ 41.95(500ml Glass)"
"","129","2015","Sodium chloride","Injection 0.90%","1581(E)","25-Mar-2026","₹ 59.67(1000ml Non-Glass)"
"","130","2015","Sodium chloride","Injection 0.90%","1581(E)","25-Mar-2026","₹ 35.71(500ml Non-Glass)"
"","131","2015","Sodium nitrite","Injection 30 mg","1581(E)","25-Mar-2026","₹ 33.12(1 ML)"
"","132","2015","Streptokinase","Injection 750000 IU","1581(E)","25-Mar-2026","₹ 1605.06(Each Pack)"
"","133","2015","TD Vaccine","Each dose of 0.5ml contains:
Diphtheria Toxoid ?5Lf (?
2IU) Tetanus Toxoid ? 5Lf (?
40IU) 5 LF","1581(E)","25-Mar-2026","₹ 23.89(Each Pack (0.5ml))"
"","134","2015","TD Vaccine","Each dose of 0.5ml contains:
Diphtheria Toxoid ?25Lf (?
30IU) Tetanus Toxoid ? 5Lf
(? 40IU) 25 LF","1581(E)","25-Mar-2026","₹ 20.48(Each Pack (0.5ml))"
"","135","2015","TD Vaccine","Each dose of 0.5ml contains:
Diphtheria Toxoid ?5Lf (?
2IU) Tetanus Toxoid ? 5Lf (?
40IU) 5 LF","1581(E)","25-Mar-2026","₹ 224.52(Each Pack (5 ml))"
"","136","2015","Temozolomide","Tablet 100 mg","1581(E)","25-Mar-2026","₹ 1971.83(1 Tablet)"
"","137","2015","Timolol","Drops 0.25%","1581(E)","25-Mar-2026","₹ 6.59(1 ML)"
"","138","2015","Tramadol","Injection 50 mg","1581(E)","25-Mar-2026","₹ 1.59(20 ML Pack)(1 ML Pack)"
"","139","2015","Verapamil","Injection 2.5 mg","1581(E)","25-Mar-2026","₹ 1.50(1 ML)"
"","140","2015","Vinblastine","Injection 1 mg","1581(E)","25-Mar-2026","₹ 26.15(1 ML)"
"","141","2015","Vitamin A","Capsule 50000 IU","1581(E)","25-Mar-2026","₹ 0.69(1 Capsule)"
"","142","2015","Water for Injection","Injection --","1581(E)","25-Mar-2026","₹ 58.78(Each Pack (500 ml))"
"","143","2015","Water for Injection","Injection --","1581(E)","25-Mar-2026","₹ 103.16(Each Pack (1000 ml))"
"","144","2015","Water for Injection","Injection --","1581(E)","25-Mar-2026","₹ 2.86(Each Pack (5 ml))"
"","145","2015","Zidovudine","Capsule 300 mg","1581(E)","25-Mar-2026","₹ 2.63(1 Capsule)"
"","146","2015","Zolpidem","Capsule 5 mg","1581(E)","25-Mar-2026","₹ 9.37(1 Capsule)"
"","147","2022","5-AMINOSALICYLIC ACID","TABLET 400 MG","1575(E)","25-Mar-2026","₹ 8.11(1 Tablet)"
"","148","2022","5-AMINOSALICYLIC ACID","SUPPOSITORY 500 MG","1575(E)","25-Mar-2026","₹ 17.86(1 Suppository)"
"","149","2022","5-FLUOROURACIL","INJECTION 250 MG/ 5 ML","1575(E)","25-Mar-2026","₹ 2.09(1 ML)"
"","150","2022","6-MERCAPTOPURINE","TABLET 50 MG","1575(E)","25-Mar-2026","₹ 5.38(1 Tablet)"
"","151","2022","ABACAVIR","TABLET 300 MG","1575(E)","25-Mar-2026","₹ 49.76(1 Tablet)"
"","152","2022","ABACAVIR (A)+LAMIVUDINE (B)","TABLET 600 (A) + 300 MG (B)","1575(E)","25-Mar-2026","₹ 74.06(1 Tablet)"
"","153","2022","ACETAZOLAMIDE","TABLET 250 MG","1575(E)","25-Mar-2026","₹ 4.16(1 Tablet)"
"","154","2022","ACETAZOLAMIDE SYSTEMIC","CAPSULE 250 MG","1575(E)","25-Mar-2026","₹ 5.17(1 Capsule)"
"","155","2022","ACETYLCYSTEINE","INJECTION 200 MG","1575(E)","25-Mar-2026","₹ 24.21(1 ML)"
"","156","2022","ACETYLSALICYLIC ACID","EFFERVESCENT/ DISPERSIBLE/
ENTERIC COATED TABLET 150 MG","1575(E)","25-Mar-2026","₹ 0.72(1 Tablet)"
"","157","2022","ACICLOVIR","OINTMENT 3 %","1575(E)","25-Mar-2026","₹ 11.95(1 GM)"
"","158","2022","ACICLOVIR","INJECTION 250 MG","1575(E)","25-Mar-2026","₹ 436.64(Each Vial)"
"","159","2022","ACICLOVIR","TABLET 800 MG","1575(E)","25-Mar-2026","₹ 38.57(1 Tablet)"
"","160","2022","ACTINOMYCIN D","POWDER FOR INJECTION 0.5 MG","1575(E)","25-Mar-2026","₹ 338.97(Each Vial)"
"","161","2022","ACYCLOVIR","TABLET 400 MG","1575(E)","25-Mar-2026","₹ 13.99(1 Tablet)"
"","162","2022","ACYCLOVIR","TABLET 200 MG","1575(E)","25-Mar-2026","₹ 7.79(1 Tablet)"
"","163","2022","ACYCLOVIR","ORAL LIQUID 400 MG/ 5 ML","1575(E)","25-Mar-2026","₹ 1.39(1 ML)"
"","164","2022","ACYCLOVIR","POWDER FOR INJECTION 500 MG","1575(E)","25-Mar-2026","₹ 541.13(Each Vial)"
"","165","2022","ADENOSINE","INJECTION 3 MG","1575(E)","25-Mar-2026","₹ 95.09(1 ML)"
"","166","2022","ADRENALINE","INJECTION 1 MG","1575(E)","25-Mar-2026","₹ 12.52(1 ML)"
"","167","2022","ALBENDAZOLE","CHEWABLE TABLET 400 MG","1575(E)","25-Mar-2026","₹ 8.32(1 Tablet)"
"","168","2022","ALBENDAZOLE","TABLET 400 MG","1575(E)","25-Mar-2026","₹ 7.21(1 Tablet)"
"","169","2022","ALBENDAZOLE","ORAL LIQUID 200 MG/ 5 ML","1575(E)","25-Mar-2026","₹ 1.83(1 ML)"
"","170","2022","ALLOPURINOL","TABLET 300 MG","1575(E)","25-Mar-2026","₹ 5.77(1 Tablet)"
"","171","2022","ALLOPURINOL","TABLET 100 MG","1575(E)","25-Mar-2026","₹ 1.93(1 Tablet)"
"","172","2022","ALL ORAL ELECTROLYTES - ORS","POWDER --","1575(E)","25-Mar-2026","₹ 1.02(1 GM)"
"","173","2022","ALL ORAL ELECTROLYTES - ORS","SYRUP --","1575(E)","25-Mar-2026","₹ 0.15(1 ML)"
"","174","2022","ALPROSTADIL","INJECTION 500 MCG","1575(E)","25-Mar-2026","₹ 6253.38(1 ML)"
"","175","2022","AMIKACIN","INJECTION 250 MG","1575(E)","25-Mar-2026","₹ 55.47(1 ML)"
"","176","2022","AMIODARONE","INJECTION 50 MG","1575(E)","25-Mar-2026","₹ 21.64(1 ML)"
"","177","2022","AMIODARONE","TABLET 100 MG","1575(E)","25-Mar-2026","₹ 6.29(1 Tablet)"
"","178","2022","AMIODARONE","TABLET 200 MG","1575(E)","25-Mar-2026","₹ 11.79(1 Tablet)"
"","179","2022","AMITRIPTYLINE","TABLET 50 MG","1575(E)","25-Mar-2026","₹ 6.13(1 Tablet)"
"","180","2022","AMITRIPTYLINE","TABLET 10 MG","1575(E)","25-Mar-2026","₹ 2.45(1 Tablet)"
"","181","2022","AMITRIPTYLINE","TABLET 25 MG","1575(E)","25-Mar-2026","₹ 2.55(1 Tablet)"
"","182","2022","AMITRIPTYLINE","TABLET 75 MG","1575(E)","25-Mar-2026","₹ 5.58(1 Tablet)"
"","183","2022","AMLODIPINE","TABLET 5 MG","1575(E)","25-Mar-2026","₹ 2.56(1 Tablet)"
"","184","2022","AMLODIPINE","TABLET 10 MG","1575(E)","25-Mar-2026","₹ 5.58(1 Tablet)"
"","185","2022","AMLODIPINE","TABLET 2.5 MG","1575(E)","25-Mar-2026","₹ 1.83(1 Tablet)"
"","186","2022","AMOXICILLIN","CAPSULE 250 MG","1575(E)","25-Mar-2026","₹ 2.50(1 Capsule)"
"","187","2022","AMOXICILLIN","CAPSULE 500 MG","1575(E)","25-Mar-2026","₹ 7.54(1 Capsule)"
"","188","2022","AMOXICILLIN","ORAL LIQUID 250 MG/ 5 ML","1575(E)","25-Mar-2026","₹ 1.60(1 ML)"
"","189","2022","AMOXICILLIN (A) + CLAVULANIC ACID (B)","TABLET 500 MG (A)
+125 MG(B)","1575(E)","25-Mar-2026","₹ 18.74(1 Tablet)"
"","190","2022","AMOXYCILLIN","SUSPENSION 125 MG","1575(E)","25-Mar-2026","₹ 1.05(1 ML)"
"","191","2022","AMOXYCILLIN","INJECTION 250 MG","1575(E)","25-Mar-2026","₹ 25.38(Each Vial)"
"","192","2022","AMOXYCILLIN","INJECTION 500 MG","1575(E)","25-Mar-2026","₹ 55.96(Each Vial)"
"","193","2022","AMOXYCILLIN + CLAVULANIC ACID","DRY SYRUP 125/31.25 MG","1575(E)","25-Mar-2026","₹ 2.10(1 ML)"
"","194","2022","AMOXYCILLIN + CLAVULANIC ACID","ORAL SUSPENSION 200/28.5 MG","1575(E)","25-Mar-2026","₹ 2.07(1 ML)"
"","195","2022","AMOXYCILLIN + CLAVULANIC ACID","INJECTION 1000/200 MG","1575(E)","25-Mar-2026","₹ 145.06(Each Vial)( Pack)"
"","196","2022","AMOXYCILLIN + CLAVULANIC ACID","INJECTION 500/100 MG","1575(E)","25-Mar-2026","₹ 103.78(Each Vial)"
"","197","2022","AMPHOTERICIN B - CONVENTIONAL","INJECTION 50 MG","1575(E)","25-Mar-2026","₹ 232.86(Each Vial)"
"","198","2022","AMPHOTERICIN B - LIPID","INJECTION 50 MG","1575(E)","25-Mar-2026","₹ 1933.08(Each Vial)( Pack)"
"","199","2022","AMPHOTERICIN B - LIPOSOMAL","INJECTION 50 MG","1575(E)","25-Mar-2026","₹ 6807.87(Each Vial)( Pack)"
"","200","2022","AMPICILLIN","POWDER FOR INJECTION 500 MG","1575(E)","25-Mar-2026","₹ 14.59(Each Vial)"
"","201","2022","AMPICILLIN","POWDER FOR INJECTION 1000 MG","1575(E)","25-Mar-2026","₹ 25.51(Each Vial)"
"","202","2022","ANTI RABIES SERA - IMMUNOGLOBULINS","INJECTION 300 IU","1575(E)","25-Mar-2026","₹ 112.19(1 ML)( Pack)"
"","203","2022","ANTI RABIES SERA - IMMUNOGLOBULINS","INJECTION 150 IU","1575(E)","25-Mar-2026","₹ 3182.21(1 ML)( Pack)"
"","204","2022","ANTI RABIES VACCINE - ARV","VACCINE --","1575(E)","25-Mar-2026","₹ 387.80(Each Vial)"
"","205","2022","ARSENIC TRIOXIDE","INJECTION 1 MG","1575(E)","25-Mar-2026","₹ 31.27(1 ML)"
"","206","2022","ARTEMETHER (A)+LUMEFANTRINE (B)","TABLET 40 MG(A) + 240
MG(B)","1575(E)","25-Mar-2026","₹ 18.47(1 Tablet)"
"","207","2022","ARTEMETHER (A)+LUMEFANTRINE (B)","TABLET 80 MG(A) + 480
MG(B)","1575(E)","25-Mar-2026","₹ 26.12(1 Tablet)"
"","208","2022","ARTEMETHER + LUMEFANTRINE","TABLET 20/120 MG","1575(E)","25-Mar-2026","₹ 12.95(1 Tablet)"
"","209","2022","ARTESUNATE","POWDER FOR INJECTION 60 MG","1575(E)","25-Mar-2026","₹ 250.61(Each Vial)"
"","210","2022","ARTESUNATE","POWDER FOR INJECTION 120 MG","1575(E)","25-Mar-2026","₹ 465.35(Each Vial)"
"","211","2022","ARTESUNATE + SULFADOXINE + PYRIMETHAMINE","KIT 50/500/25 MG","1575(E)","25-Mar-2026","₹ 23.09(Combi Pack)"
"","212","2022","ASCORBIC ACID (VITAMIN C)","TABLET 500 MG","1575(E)","25-Mar-2026","₹ 1.58(1 Tablet)( Pack)"
"","213","2022","ASCORBIC ACID (VITAMIN C)","TABLET 100 MG","1575(E)","25-Mar-2026","₹ 0.24(1 Tablet)"
"","214","2022","ASPIRIN","TABLET DT 75 MG","1575(E)","25-Mar-2026","₹ 0.36(1 Tablet)"
"","215","2022","ASPIRIN","TABLET 325 MG","1575(E)","25-Mar-2026","₹ 0.68(1 Tablet)"
"","216","2022","ATAZANAVIR (A)+RITONAVIR (B)","TABLET 300 MG(A) + 100
MG(B)","1575(E)","25-Mar-2026","₹ 102.23(1 Tablet)"
"","217","2022","ATORVASTATIN","TABLET 40 MG","1575(E)","25-Mar-2026","₹ 19.77(1 Tablet)"
"","218","2022","ATORVASTATIN","TABLET 20 MG","1575(E)","25-Mar-2026","₹ 12.86(1 Tablet)"
"","219","2022","ATORVASTATIN","TABLET 80 MG","1575(E)","25-Mar-2026","₹ 41.56(1 Tablet)"
"","220","2022","ATORVASTATIN","TABLET 10 MG","1575(E)","25-Mar-2026","₹ 5.09(1 Tablet)( Pack)"
"","221","2022","ATRACURIUM","INJECTION 10 MG","1575(E)","25-Mar-2026","₹ 17.39(1 ML)"
"","222","2022","ATROPINE","INJECTION 0.6 MG/ ML","1575(E)","25-Mar-2026","₹ 7.03(1 ML)( Pack)"
"","223","2022","ATROPINE EYE DROPS / OINTMENT","DROPS 1 %","1575(E)","25-Mar-2026","₹ 4.04(1 ML)"
"","224","2022","ATROPINE EYE DROPS / OINTMENT","OINTMENT 1 %","1575(E)","25-Mar-2026","₹ 4.82(1 GM)"
"","225","2022","AZATHIOPRINE","TABLET 25 MG","1575(E)","25-Mar-2026","₹ 7.42(1 Tablet)"
"","226","2022","AZATHIOPRINE","TABLET 50 MG","1575(E)","25-Mar-2026","₹ 11.53(1 Tablet)"
"","227","2022","AZITHROMYCIN","ORAL LIQUID 200 MG/ 5 ML","1575(E)","25-Mar-2026","₹ 3.49(1 ML)"
"","228","2022","AZITHROMYCIN","TABLET 1000 MG","1575(E)","25-Mar-2026","₹ 59.17(1 Tablet)"
"","229","2022","AZITHROMYCIN","INJECTION 500 MG","1575(E)","25-Mar-2026","₹ 209.63(Each Vial)"
"","230","2022","AZITHROMYCIN","TABLET 250 MG","1575(E)","25-Mar-2026","₹ 11.95(1 Tablet)( Pack)"
"","231","2022","AZITHROMYCIN","TABLET 500 MG","1575(E)","25-Mar-2026","₹ 24.14(1 Tablet)"
"","232","2022","AZITHROMYCIN","CAPSULE 250 MG","1575(E)","25-Mar-2026","₹ 10.87(1 Capsule)"
"","233","2022","AZITHROMYCIN","CAPSULE 500 MG","1575(E)","25-Mar-2026","₹ 19.49(1 Capsule)"
"","234","2022","BACLOFEN","TABLET 10 MG","1575(E)","25-Mar-2026","₹ 12.19(1 Tablet)"
"","235","2022","BACLOFEN","TABLET 20 MG","1575(E)","25-Mar-2026","₹ 16.67(1 Tablet)"
"","236","2022","BACLOFEN","TABLET 5 MG","1575(E)","25-Mar-2026","₹ 6.52(1 Tablet)"
"","237","2022","BCG","VACCINE 40 MG","1575(E)","25-Mar-2026","₹ 8.20(Each Dose)( Pack)"
"","238","2022","BENDAMUSTINE","INJECTION 100 MG","1575(E)","25-Mar-2026","₹ 5065.58(Each Vial)"
"","239","2022","BENZATHINE BENZYLPENICILLIN","POWDER FOR INJECTION 1200000 IU","1575(E)","25-Mar-2026","₹ 20.28(Each Vial)"
"","240","2022","BENZATHINE BENZYLPENICILLIN","POWDER FOR INJECTION 600000 IU","1575(E)","25-Mar-2026","₹ 11.97(Each Vial)"
"","241","2022","BENZOYL PEROXIDE","GEL 3.5 %","1575(E)","25-Mar-2026","₹ 10.36(1 GM)"
"","242","2022","BENZOYL PEROXIDE","GEL 2.5 %","1575(E)","25-Mar-2026","₹ 3.70(1 GM)"
"","243","2022","BENZOYL PEROXIDE","GEL 5 %","1575(E)","25-Mar-2026","₹ 8.16(1 GM)"
"","244","2022","BETAMETHASONE","INJECTION 4 MG","1575(E)","25-Mar-2026","₹ 4.85(1 ML)"
"","245","2022","BETAMETHASONE","CREAM 0.1 %","1575(E)","25-Mar-2026","₹ 1.07(1 GM)"
"","246","2022","BETAMETHASONE","GEL 0.05 %","1575(E)","25-Mar-2026","₹ 0.48(1 GM)"
"","247","2022","BETAMETHASONE","CREAM 0.05 %","1575(E)","25-Mar-2026","₹ 0.68(1 GM)"
"","248","2022","BETAMETHASONE","LOTION 0.05 %","1575(E)","25-Mar-2026","₹ 0.67(1 ML)"
"","249","2022","BICALUTAMIDE","TABLET 50 MG","1575(E)","25-Mar-2026","₹ 44.34(1 Tablet)"
"","250","2022","BISACODYL","TABLET 5 MG","1575(E)","25-Mar-2026","₹ 1.20(1 Tablet)"
"","251","2022","BISACODYL","SUPPOSITORY 5 MG","1575(E)","25-Mar-2026","₹ 10.22(1 Suppository)"
"","252","2022","BLEOMYCIN","INJECTION 15 IU","1575(E)","25-Mar-2026","₹ 693.68(Each Vial)"
"","253","2022","BORTEZOMIB","POWDER FOR INJECTION 2 MG","1575(E)","25-Mar-2026","₹ 5386.81(Each Vial)"
"","254","2022","BUDESONIDE","INHALER 100 MCG","1575(E)","25-Mar-2026","₹ 13.46(1 ML)"
"","255","2022","BUDESONIDE","NASAL SPRAY 50 MCG","1575(E)","25-Mar-2026","₹ 12.19(1 ML)"
"","256","2022","BUDESONIDE","INHALER 200 MCG","1575(E)","25-Mar-2026","₹ 3.41(Per Dose)"
"","257","2022","BUDESONIDE","INHALER 200 MCG","1575(E)","25-Mar-2026","₹ 2.08(Per Metered Dose)"
"","258","2022","BUDESONIDE","INHALER 100 MCG","1575(E)","25-Mar-2026","₹ 1.44(Per Metered Dose)"
"","259","2022","BUDESONIDE NASAL SPRAY","NASAL SPRAY 100 MCG","1575(E)","25-Mar-2026","₹ 0.83(Per Dose)"
"","260","2022","BUPIVACAINE","INJECTION 0.5% with 7.5% Glucose","1575(E)","25-Mar-2026","₹ 7.57(1 ML)"
"","261","2022","BUPIVACAINE","INJECTION 0.5 %","1575(E)","25-Mar-2026","₹ 4.53(1 ML)"
"","262","2022","BUPIVACAINE","INJECTION 0.25 %","1575(E)","25-Mar-2026","₹ 2.90(1 ML)"
"","263","2022","BUPRENORPHINE","TABLET 0.4 MG","1575(E)","25-Mar-2026","₹ 9.65(1 Tablet)"
"","264","2022","BUPRENORPHINE + NALOXONE","TABLET 0.4/0.1 MG","1575(E)","25-Mar-2026","₹ 12.11(1 Tablet)"
"","265","2022","BUPRENORPHINE + NALOXONE","TABLET 2/0.5 MG","1575(E)","25-Mar-2026","₹ 37.86(1 Tablet)"
"","266","2022","CAFFEINE","ORAL LIQUID 20 MG/ML","1575(E)","25-Mar-2026","₹ 251.58(1 ML)"
"","267","2022","CAFFEINE","INJECTION 20 MG/ML","1575(E)","25-Mar-2026","₹ 256.52(1 ML)"
"","268","2022","CALAMINE","LOTION --","1575(E)","25-Mar-2026","₹ 0.98(1 ML)"
"","269","2022","CALCIUM FOLINATE","TABLET 15 MG","1575(E)","25-Mar-2026","₹ 48.68(1 Tablet)"
"","270","2022","CAPECITABINE","TABLET 500 MG","1575(E)","25-Mar-2026","₹ 115.43(1 Tablet)"
"","271","2022","CARBAMAZEPINE","MODIFIED RELEASE TABLET 200 MG","1575(E)","25-Mar-2026","₹ 2.46(1 Tablet)"
"","272","2022","CARBAMAZEPINE","TABLET 400 MG","1575(E)","25-Mar-2026","₹ 3.63(1 Tablet)"
"","273","2022","CARBAMAZEPINE","MODIFIED RELEASE TABLET 400 MG","1575(E)","25-Mar-2026","₹ 4.77(1 Tablet)"
"","274","2022","CARBAMAZEPINE","TABLET 100 MG","1575(E)","25-Mar-2026","₹ 1.10(1 Tablet)"
"","275","2022","CARBAMAZEPINE","TABLET 200 MG","1575(E)","25-Mar-2026","₹ 1.61(1 Tablet)"
"","276","2022","CARBAMAZEPINE","ORAL LIQUID 100 MG/ 5 ML","1575(E)","25-Mar-2026","₹ 0.32(1 ML)"
"","277","2022","CARBIMAZOLE","TABLET 20 MG","1575(E)","25-Mar-2026","₹ 14.20(1 Tablet)"
"","278","2022","CARBIMAZOLE","TABLET 10 MG","1575(E)","25-Mar-2026","₹ 4.36(1 Tablet)"
"","279","2022","CARBIMAZOLE","TABLET 5 MG","1575(E)","25-Mar-2026","₹ 2.24(1 Tablet)"
"","280","2022","CARBOPLATIN","INJECTION 10 MG","1575(E)","25-Mar-2026","₹ 60.49(1 ML)"
"","281","2022","CARBOXY METHYL CELLULOSE","EYE DROPS 1 %","1575(E)","25-Mar-2026","₹ 16.98(1 ML)"
"","282","2022","CARBOXY METHYL CELLULOSE","DROPS 0.5 %","1575(E)","25-Mar-2026","₹ 12.59(1 ML)"
"","283","2022","CEFADROXIL","TABLET 500 MG","1575(E)","25-Mar-2026","₹ 6.87(1 Tablet)( Pack)"
"","284","2022","CEFADROXIL","SUSPENSION 125 MG","1575(E)","25-Mar-2026","₹ 0.69(1 ML)"
"","285","2022","CEFIXIME","ORAL SUSPENSION 50 MG","1575(E)","25-Mar-2026","₹ 1.67(1 ML)"
"","286","2022","CEFIXIME","ORAL LIQUID 100 MG/ 5 ML","1575(E)","25-Mar-2026","₹ 2.45(1 ML)"
"","287","2022","CEFIXIME","TABLET 200 MG","1575(E)","25-Mar-2026","₹ 10.01(1 Tablet)"
"","288","2022","CEFIXIME","CAPSULE 200 MG","1575(E)","25-Mar-2026","₹ 15.04(1 Capsule)"
"","289","2022","CEFIXIME","TABLET 400 MG","1575(E)","25-Mar-2026","₹ 22.63(1 Tablet)"
"","290","2022","CEFOTAXIME","POWDER FOR INJECTION 250 MG","1575(E)","25-Mar-2026","₹ 18.15(Each Vial)"
"","291","2022","CEFOTAXIME","POWDER FOR INJECTION 1000 MG","1575(E)","25-Mar-2026","₹ 40.92(Each Vial)"
"","292","2022","CEFOTAXIME","POWDER FOR INJECTION 500 MG","1575(E)","25-Mar-2026","₹ 24.96(Each Vial)"
"","293","2022","CEFTAZIDIME","POWDER FOR INJECTION 1000 MG","1575(E)","25-Mar-2026","₹ 232.47(Each Vial)"
"","294","2022","CEFTAZIDIME","POWDER FOR INJECTION 250 MG","1575(E)","25-Mar-2026","₹ 80.97(Each Vial)"
"","295","2022","CEFTRIAXONE","POWDER FOR INJECTION 2000 MG","1575(E)","25-Mar-2026","₹ 141.43(Each Vial)"
"","296","2022","CEFTRIAXONE","POWDER FOR INJECTION 250 MG","1575(E)","25-Mar-2026","₹ 29.02(Each Vial)"
"","297","2022","CEFTRIAXONE","POWDER FOR INJECTION 500 MG","1575(E)","25-Mar-2026","₹ 51.49(Each Vial)"
"","298","2022","CEFTRIAXONE","POWDER FOR INJECTION 1000 MG","1575(E)","25-Mar-2026","₹ 63.88(Each Vial)"
"","299","2022","CEFUROXIME","ORAL SUSPENSION 125 MG","1575(E)","25-Mar-2026","₹ 5.44(1 ML)( Pack)"
"","300","2022","CEFUROXIME","TABLET 500 MG","1575(E)","25-Mar-2026","₹ 52.67(1 Tablet)"
"","301","2022","CEFUROXIME","INJECTION 1500 MG","1575(E)","25-Mar-2026","₹ 346.90(Each Vial)"
"","302","2022","CETIRIZINE","SUSPENSION 5 MG","1575(E)","25-Mar-2026","₹ 0.67(1 ML)"
