""," SL No"," NLEM Version"," Formulation"," Dosage & Strength"," SO Number"," SO Date"," Ceiling Price ( Excluding Taxes) (Rs.)(Per Unit)"
"","841","2022","TAMOXIFEN","TABLET 20 MG","1575(E)","25-Mar-2026","₹ 3.02(1 Tablet)"
"","842","2022","TELMISARTAN","TABLET 80 MG","1575(E)","25-Mar-2026","₹ 10.65(1 Tablet)"
"","843","2022","TELMISARTAN","TABLET 40 MG","1575(E)","25-Mar-2026","₹ 6.92(1 Tablet)"
"","844","2022","TELMISARTAN","TABLET 20 MG","1575(E)","25-Mar-2026","₹ 3.98(1 Tablet)"
"","845","2022","TEMOZOLOMIDE","CAPSULE 100 MG","1575(E)","25-Mar-2026","₹ 1544.93(1 Capsule)"
"","846","2022","TEMOZOLOMIDE","CAPSULE 250 MG","1575(E)","25-Mar-2026","₹ 4407.34(1 Capsule)"
"","847","2022","TEMOZOLOMIDE","TABLET 250 MG","1575(E)","25-Mar-2026","₹ 3848.38(1 Tablet)"
"","848","2022","TEMOZOLOMIDE","CAPSULE 20 MG","1575(E)","25-Mar-2026","₹ 451.93(1 Capsule)"
"","849","2022","TEMOZOLOMIDE","TABLET 20 MG","1575(E)","25-Mar-2026","₹ 344.72(1 Tablet)"
"","850","2022","TENECTEPLASE","INJECTION 30 MG","1575(E)","25-Mar-2026","₹ 37796.29(Each Vial)"
"","851","2022","TENECTEPLASE","INJECTION 40 MG","1575(E)","25-Mar-2026","₹ 51599.61(Each Vial)"
"","852","2022","TENELIGLIPTIN","TABLET 20 MG","1575(E)","25-Mar-2026","₹ 11.35(1 Tablet)"
"","853","2022","TENOFOVIR","TABLET 300 MG","1575(E)","25-Mar-2026","₹ 46.94(1 Tablet)"
"","854","2022","TENOFOVIR ALAFENAMIDE","TABLET 25 MG","1575(E)","25-Mar-2026","₹ 50.04(1 Tablet)"
"","855","2022","TENOFOVIR (A)+LAMIVUDINE (B)","TABLET 300 MG(A) + 300
MG(B)","1575(E)","25-Mar-2026","₹ 46.67(1 Tablet)"
"","856","2022","TENOFOVIR (A)+LAMIVUDINE (B) +
EFAVIRENZ (C)","TABLET 300 MG(A) + 300
MG(B) + 600 MG�","1575(E)","25-Mar-2026","₹ 105.31(1 Tablet)"
"","857","2022","TERBINAFINE","CREAM 1 %","1575(E)","25-Mar-2026","₹ 5.38(1 GM)"
"","858","2022","TETANUS","INJECTION 0.5 ML","1575(E)","25-Mar-2026","₹ 26.14(Each Pack (5 ml))"
"","859","2022","TETANUS","INJECTION 250 IU","1575(E)","25-Mar-2026","₹ 1274.68(Each Vial)( Pack)"
"","860","2022","TETANUS","INJECTION 500 IU","1575(E)","25-Mar-2026","₹ 1920.79(Each Vial)( Pack)"
"","861","2022","TETANUS","INJECTION 0.5 ML","1575(E)","25-Mar-2026","₹ 12.77(Each Vial)"
"","862","2022","TETANUS","INJECTION 1000 IU","1575(E)","25-Mar-2026","₹ 2748.64(Each Vial)( Pack)"
"","863","2022","THALIDOMIDE","CAPSULE 100 MG","1575(E)","25-Mar-2026","₹ 63.50(1 Capsule)"
"","864","2022","THALIDOMIDE","CAPSULE 50 MG","1575(E)","25-Mar-2026","₹ 31.91(1 Capsule)"
"","865","2022","THIAMINE","TABLET 100 MG","1575(E)","25-Mar-2026","₹ 4.57(1 Tablet)"
"","866","2022","THIOPENTAL SODIUM","INJECTION 500 MG","1575(E)","25-Mar-2026","₹ 46.79(Each Vial)"
"","867","2022","THIOPENTAL SODIUM","INJECTION 1000 MG","1575(E)","25-Mar-2026","₹ 56.65(Each Vial)"
"","868","2022","TIMOLOL","DROPS 0.5 %","1575(E)","25-Mar-2026","₹ 13.72(1 ML)"
"","869","2022","TIOTROPIUM","INHALER 9 MCG","1575(E)","25-Mar-2026","₹ 2.85(Per Metered Dose)"
"","870","2022","TIOTROPIUM","INHALER 18 MCG","1575(E)","25-Mar-2026","₹ 10.97(Per Dose)"
"","871","2022","TRAMADOL","INJECTION 50 MG","1575(E)","25-Mar-2026","₹ 12.07(1 ML)"
"","872","2022","TRAMADOL","TABLET 50 MG","1575(E)","25-Mar-2026","₹ 9.93(1 Tablet)"
"","873","2022","TRAMADOL","CAPSULE 50 MG","1575(E)","25-Mar-2026","₹ 4.93(1 Capsule)"
"","874","2022","TRAMADOL","TABLET 100 MG","1575(E)","25-Mar-2026","₹ 25.07(1 Tablet)"
"","875","2022","TRAMADOL","CAPSULE 100 MG","1575(E)","25-Mar-2026","₹ 9.26(1 Capsule)"
"","876","2022","TRANEXAMIC ACID","INJECTION 100 MG/ML","1575(E)","25-Mar-2026","₹ 14.04(1 ML)"
"","877","2022","TRANEXAMIC ACID","TABLET 500 MG","1575(E)","25-Mar-2026","₹ 18.98(1 Tablet)"
"","878","2022","TRASTUZUMAB","INJECTION 440 MG/ 50 ML","1575(E)","25-Mar-2026","₹ 56039.23(Each Vial)"
"","879","2022","TRIHEXYPHENIDYL","TABLET 2 MG","1575(E)","25-Mar-2026","₹ 1.40(1 Tablet)"
"","880","2022","TRIMETHOPRIM + SULPHAMETHOXAZOLE","SUSPENSION 200/40 MG","1575(E)","25-Mar-2026","₹ 0.36(1 ML)"
"","881","2022","TROPICAMIDE EYE DROPS / OINTMENT","DROPS 1 %","1575(E)","25-Mar-2026","₹ 9.65(1 ML)"
"","882","2022","UNFRACTIONATED HEPARINS - SYSTEMIC","INJECTION 5000 IU","1575(E)","25-Mar-2026","₹ 61.40(1 ML)"
"","883","2022","VALGANCICLOVIR","TABLET 450 MG","1575(E)","25-Mar-2026","₹ 418.08(1 Tablet)( Pack)"
"","884","2022","VANCOMYCIN","INJECTION 1000 MG","1575(E)","25-Mar-2026","₹ 481.55(Each Vial)"
"","885","2022","VANCOMYCIN","CAPSULE 250 MG","1575(E)","25-Mar-2026","₹ 156.04(1 Capsule)"
